feature,mean_importance
feature_6,-7.243123277348578e-06
feature_23,-1.1396247373909874e-08
feature_24,-7.180316633631501e-09
feature_30,0.0
feature_21,0.0
feature_16,0.0
feature_29,0.0
feature_14,0.0
feature_19,0.0
feature_20,3.4694469519536144e-19
feature_2,3.4694469519536144e-19
feature_9,3.4694469519536144e-19
feature_26,1.243304569661062e-06
feature_7,1.6598482802863274e-06
feature_3,5.887487995434419e-06
feature_22,7.1438105530646775e-06
feature_25,7.689355264496427e-06
feature_10,1.001018964478257e-05
feature_12,1.1821194028600531e-05
feature_17,1.806215373276847e-05
feature_1,1.929688172492873e-05
feature_8,3.718042927591588e-05
feature_28,5.451219425068217e-05
feature_4,8.11756519888773e-05
feature_27,0.00012959288048725574
feature_11,0.0002962555588704752
feature_5,0.00034841573022205213
feature_18,0.0014349301137006765
feature_13,0.0015084084122500246
feature_15,0.0016497764749979146
