feature,mean_importance
feature_7,-2.496627476215787e-06
feature_30,-2.4182232536230918e-06
feature_2,-1.9913508359700566e-06
feature_29,-3.604820784887039e-07
feature_16,0.0
feature_22,0.0
feature_21,1.7347234759768072e-19
feature_20,1.7347234759768072e-19
feature_19,1.7347234759768072e-19
feature_26,1.7347234759768072e-19
feature_3,1.7347234759768072e-19
feature_24,1.7347234759768072e-19
feature_9,3.4694469519536144e-19
feature_10,4.914750694188195e-07
feature_14,5.979691043610063e-07
feature_25,1.5699618965767624e-06
feature_23,3.905563397542562e-06
feature_28,1.0074353531674962e-05
feature_1,1.9541993142650934e-05
feature_6,2.0337283788837616e-05
feature_17,3.193859842622361e-05
feature_8,3.84211215145455e-05
feature_12,5.435322639482654e-05
feature_27,6.958778609935683e-05
feature_4,7.766386802371163e-05
feature_5,0.00024406432687014667
feature_11,0.00044236996009431917
feature_18,0.0006994844699319553
feature_13,0.0012014836291558285
feature_15,0.0018682104720256262
