feature,mean_importance
feature_1,-0.00014419861202569998
feature_30,-0.00011484287790462094
feature_14,-7.914862793752722e-05
feature_3,-7.467484608521847e-05
feature_26,-5.5642292782274486e-05
feature_16,-4.3956698297604145e-05
feature_28,-3.273432069159713e-05
feature_27,-1.3458957747230355e-05
feature_8,-8.290695497542925e-06
feature_12,-1.1750838503599495e-06
feature_20,2.5154875875108005e-06
feature_22,7.602967048499047e-06
feature_21,9.428376595804581e-06
feature_2,3.248385688003116e-05
feature_7,3.5066738729710656e-05
feature_25,4.4945122890256535e-05
feature_10,6.103908073478177e-05
feature_23,6.74394531639257e-05
feature_29,0.0001002508299418399
feature_24,0.0001358330481428905
feature_6,0.00013958372727171462
feature_19,0.00023132461444262293
feature_9,0.00032370233587855293
feature_11,0.0005929577281443471
feature_5,0.0006118494334210288
feature_13,0.0007583332609919608
feature_18,0.0007951386411736953
feature_17,0.0008635870985978725
feature_4,0.0009071914280614062
feature_15,0.001043204434673138
