feature,mean_importance
feature_27,-0.00015802602816320372
feature_1,-0.00011943694599634499
feature_3,-0.00010398521487967136
feature_7,-0.00010262373791788474
feature_22,-8.744014374526335e-05
feature_11,-3.624617570476968e-05
feature_10,-2.6276306502935436e-05
feature_21,-2.3260109782187282e-05
feature_14,-1.9262217961632348e-05
feature_8,-1.7240393504606813e-05
feature_26,-1.5357482587221444e-05
feature_29,-1.5269029281407034e-05
feature_12,-9.945809994277472e-06
feature_16,-8.74876366401267e-06
feature_24,1.0318231431160306e-05
feature_2,1.2811719999608443e-05
feature_28,1.645310601819487e-05
feature_25,2.24068287099222e-05
feature_30,4.536609372420581e-05
feature_6,8.939434553200606e-05
feature_9,0.0001314995553227751
feature_23,0.00016144579320072436
feature_19,0.00021997086416563946
feature_4,0.0002717925634986943
feature_20,0.00030338704279693626
feature_13,0.0004346147451826838
feature_17,0.0005885216949870142
feature_5,0.0010391399278530783
feature_18,0.001059614677737309
feature_15,0.0010785807779974978
