feature,mean_importance
feature_29,-2.8701239259209566e-06
feature_28,-2.6028637325311437e-06
feature_14,-6.911496078933211e-07
feature_24,4.4311892549806636e-08
feature_1,2.4073343958463595e-07
feature_21,2.864607299793778e-07
feature_30,3.7189257674095573e-07
feature_16,4.520363333817071e-07
feature_25,7.761178019334743e-07
feature_26,6.188342744662626e-06
feature_12,1.0827114300896932e-05
feature_20,1.727114313246573e-05
feature_27,2.3918757232968546e-05
feature_22,2.645570678728379e-05
feature_23,2.6581191617721343e-05
feature_7,2.8752773820495472e-05
feature_2,3.8323757337411884e-05
feature_5,7.614601774677153e-05
feature_9,0.00016894666054805056
feature_8,0.00018738728599429713
feature_10,0.000475148488622063
feature_3,0.0005530343096915207
feature_17,0.0006863292427512827
feature_6,0.0007389713785441643
feature_13,0.000830057080304374
feature_19,0.000974400126568724
feature_11,0.0011411151620475553
feature_15,0.004922341922849167
feature_4,0.006671637752553414
feature_18,0.01075374412070644
