feature,mean_importance
feature_25,-1.7512369809598913e-05
feature_3,-1.5477764853262608e-05
feature_24,-1.2591148303480165e-05
feature_7,-9.769505604650779e-06
feature_12,-9.164343212836324e-06
feature_26,-3.7769711335497445e-06
feature_4,-3.574654782043975e-06
feature_10,5.8152662272006016e-06
feature_6,9.534540609145315e-06
feature_14,1.0629400284289763e-05
feature_9,2.1874810972771427e-05
feature_22,2.270229684508511e-05
feature_16,2.6008359638415076e-05
feature_23,2.6689535964586048e-05
feature_1,2.793537581096189e-05
feature_2,3.220756167588851e-05
feature_28,3.531769605697559e-05
feature_20,3.8603470135289195e-05
feature_19,4.82194946883399e-05
feature_17,7.122549702529342e-05
feature_29,8.817917205675803e-05
feature_8,0.0001238691161846773
feature_30,0.00015041158459231833
feature_21,0.00015787471422568054
feature_27,0.00017474342197370808
feature_13,0.0002077763847828872
feature_18,0.00030303385128503955
feature_11,0.0004239402591026097
feature_5,0.0009334944077499854
feature_15,0.002702492500809825
