feature,mean_importance
feature_10,-3.274971117012745e-05
feature_16,-1.679700753991235e-05
feature_6,-1.1341013869410263e-05
feature_14,-1.1169061951831534e-05
feature_7,-8.872308403574426e-07
feature_19,-6.200188884674003e-07
feature_26,2.8066534182948945e-06
feature_24,4.164018815124449e-06
feature_3,4.950372060781756e-06
feature_25,6.236149453479629e-06
feature_20,1.2528017627053914e-05
feature_4,1.79859693455426e-05
feature_2,2.2634139290396166e-05
feature_22,2.4664903943954607e-05
feature_21,2.9237053245043718e-05
feature_9,3.7317222638722124e-05
feature_8,3.900417732156224e-05
feature_12,4.23880468588835e-05
feature_23,5.4138583360204776e-05
feature_30,8.462674503522836e-05
feature_28,9.386405506356735e-05
feature_29,0.00010505502957558035
feature_1,0.00012199512221553232
feature_17,0.00013677074964527628
feature_13,0.0001729960085950083
feature_18,0.00034367283369215616
feature_27,0.00038362087319837314
feature_5,0.0005232448412100893
feature_11,0.0017937529053018218
feature_15,0.0021629031288255517
