feature,mean_importance
feature_3,-7.851922036470928e-05
feature_17,-3.8192006239525995e-05
feature_23,-6.3248021767632955e-06
feature_1,0.0
feature_7,0.0
feature_9,0.0
feature_12,0.0
feature_18,0.0
feature_29,0.0
feature_4,1.3167624590972384e-06
feature_24,1.4180518790275418e-06
feature_22,2.3296566584021793e-06
feature_20,3.342550857707641e-06
feature_25,7.6126857046093095e-06
feature_13,2.2770059965713033e-05
feature_10,3.9578707927040956e-05
feature_30,4.498728281646918e-05
feature_19,9.816820838463562e-05
feature_11,0.00021290834240860807
feature_16,0.0004406981155632442
feature_14,0.0008279740327317101
feature_21,0.0008644560443632904
feature_2,0.0010859660159678636
feature_26,0.0011111338288389326
feature_6,0.001238944541254746
feature_27,0.0012743298207268086
feature_5,0.001525431262981596
feature_28,0.0015522402031145355
feature_8,0.00625738142416354
feature_15,0.016738483085242416
